layer,top_prediction,target_rank,target_prob
0, nucleotide,25926,3.58063273177495e-15
1, nucleotide,31678,3.6169704452121594e-15
2, available,29256,2.18798723849176e-14
3, available,18603,2.552883949971229e-14
4, available,25574,2.2760127658429108e-14
5, exchange,20546,7.637798576378644e-15
6, exchange,11336,1.5528358763769456e-12
7, exchange,11028,2.0854762361466328e-11
8, resources,4991,1.393379023273411e-10
9, Access,953,5.700377503359277e-09
10, resources,923,1.2148488437446758e-08
11, Access,36,0.0027325970586389303
