layer,attn_logit,mlp_logit,dominant
0,-0.217727392911911,0.8833280205726624,MLP
1,-0.27406737208366394,0.047669023275375366,ATTN
2,-0.13330711424350739,0.6264467239379883,MLP
3,0.0290822833776474,0.1502130925655365,MLP
4,-0.10021764039993286,0.560124397277832,MLP
5,0.9257298707962036,-0.1724255383014679,ATTN
6,-0.10544231534004211,-0.8025314211845398,MLP
7,-0.2653072774410248,0.3667849898338318,MLP
8,0.3964560627937317,0.9498568177223206,MLP
9,0.3153049945831299,-0.012069463729858398,ATTN
10,-0.04215113818645477,-0.926788330078125,MLP
11,0.224497988820076,0.31492456793785095,MLP
12,0.3530287742614746,0.07371506094932556,ATTN
13,1.1049208641052246,-0.4293705224990845,ATTN
14,0.05195339024066925,1.7770726680755615,MLP
15,0.1954953521490097,-0.11058658361434937,ATTN
16,2.9172582626342773,1.3130457401275635,ATTN
17,1.4123656749725342,1.7169442176818848,MLP
18,0.6832327842712402,1.8964264392852783,MLP
19,0.7131122946739197,4.254146575927734,MLP
20,0.6370602250099182,0.8469773530960083,MLP
21,1.1711088418960571,2.286038875579834,MLP
22,0.3958923816680908,1.368529200553894,MLP
23,0.9035084247589111,2.827442169189453,MLP
