model,concept,template_type,prompt_id,prompt,completion,word_count,entropy
pythia-2.8b,closed captions,cloze,cloze_cc_001,Closed captions display," text in a box at the bottom of the screen.

Closed captions display text in a box at the bottom of the screen.

Closed captions display text in a box at the",32,2.297973394393921
pythia-2.8b,color contrast,cloze,cloze_contrast_001,Color contrast is important because," it is a key factor in determining the quality of a printed image. In a color image, the colors of the image are represented by a combination of three primary colors, red, green, and blue",35,3.9875833988189697
pythia-2.8b,page title,cloze,cloze_title_001,A page title describes," the content of the page.

A page title is a short, descriptive phrase that is displayed in the browser's title bar.

A page title is used to identify the page in the",32,4.317871570587158
pythia-2.8b,closed captions,direct_question,direct_cc_001,What are closed captions?,"

Closed captions are subtitles that are displayed on the screen when the video is played. They are usually displayed in the bottom right corner of the screen.

Closed captions are",30,3.5025370121002197
pythia-2.8b,color contrast,direct_question,direct_contrast_001,What is color contrast?,"

Color contrast is the difference between the color of the background and the color of the foreground.

The color of the background is the color of the background of the image.

The",32,3.743551254272461
pythia-2.8b,page title,direct_question,direct_title_001,What is a page title?,"

A page title is the text that appears in the browser's title bar. It is the first thing that a user sees when they open a web page.

The page title is usually",33,3.6911416053771973
pythia-2.8b,closed captions,instruction,instr_cc_001,Explain closed captions to a web developer.,"

I'm working on a project that requires a lot of closed captions. I've been told that I need to explain to the web developer how to use them. I've been told that",32,4.2437028884887695
pythia-2.8b,color contrast,instruction,instr_contrast_001,Explain color contrast to a web developer.,"

I'm a web developer and I'm trying to explain color contrast to a web developer. I've been trying to explain it to him for a while now and I'm not sure if I",33,4.054010391235352
pythia-2.8b,page title,instruction,instr_title_001,Explain page titles to a web developer.,"

I'm a web developer and I'm trying to explain to a client why their site has a page title of ""Home"" and not ""About Us"". I've been told that the page",31,4.53337287902832
pythia-2.8b,closed captions,evaluative,eval_cc_001,A video without closed captions is not accessible because," the video is not in English.

Please contact us if you need a video in a different language.

A video with closed captions is not accessible because the video is not in English",33,3.5310919284820557
pythia-2.8b,color contrast,evaluative,eval_contrast_001,Text with low color contrast is not accessible because," it is not in the same color range as the background.

Text with high color contrast is not accessible because it is not in the same color range as the background.

Text with low",34,3.4440762996673584
pythia-2.8b,page title,evaluative,eval_title_001,A web page without a title is not accessible because," the user cannot determine what the page is about.

A web page without a title is not accessible because the user cannot determine what the page is about.

A web page without a title",34,3.022650718688965
pythia-2.8b,closed captions,scenario,scenario_cc_001,"A deaf user is watching a video on a website. Without closed captions, the user", cannot understand the video. The user can use a screen reader to read the video. The screen reader reads the video by using the audio of the video. The screen reader can also read the video by,37,4.509603500366211
pythia-2.8b,color contrast,scenario,scenario_contrast_001,A low vision user visits a website with poor color contrast. The user," is able to see the text on the website, but is unable to read the text. The user is able to see the background of the website, but is unable to read the background. The user",36,3.9863438606262207
